scheme_id,scheme_name,description,benefits,eligibility_criteria,documents_required,application_link,state_applicability,crop_types,farmer_category,scheme_type,required_documents
PM_KISAN_001,PM-KISAN (Pradhan Mantri Kisan Samman Nidhi),Income support of ₹6000 per year in three equal installments to all landholding farmer families,"The scheme provides comprehensive support including ₹6000/year in 3 installments of ₹2000 each. Furthermore, it offers direct benefit transfer to bank account.","This scheme is primarily targeted at landholding farmer families. The scheme also covers all states except assam. It is applicable to meghalaya. Furthermore, eligibility extends to j&k. Additionally, it includes ladakh initially.","Aadhaar card, Bank account details, Land ownership documents, Self-declaration form",https://pmkisan.gov.in/RegistrationFormupdated.aspx,All States,All Crops,"Small,Marginal,Large",Financial Support,"Aadhaar, Bank passbook, Land records"
PMFBY_001,PMFBY (Pradhan Mantri Fasal Bima Yojana),Crop insurance scheme providing financial support to farmers in case of crop loss,"Key benefits of this initiative include coverage against crop loss due to natural calamities. Furthermore, it offers pests & diseases. Low premium rates: 2% for kharif. Additionally, the scheme provides 1. 5% for rabi. Moreover, beneficiaries receive 5% for horticulture.",The scheme is designed to benefit all farmers including sharecroppers and tenant farmers. The scheme also covers applicable for notified crops.,"Aadhaar card, Bank account details, Land records, Sowing certificate",https://pmfby.gov.in,All States,"Rice,Wheat,Cotton,Sugarcane,Pulses,Oilseeds","Small,Marginal,Large",Insurance,"Aadhaar, Bank account, Land records"
SHC_001,Soil Health Card Scheme,Provides soil health cards to farmers every 2 years with soil nutrient status and fertilizer recommendations,"The scheme provides comprehensive support including free soil testing. Furthermore, it offers customized fertilizer recommendations. Additionally, the scheme provides improved soil health management. Moreover, beneficiaries receive reduced input costs.",Eligibility for this program is extended to all farmers with agricultural land.,"Land ownership documents, Aadhaar card, Soil samples",https://soilhealth.dac.gov.in/,All States,All Crops,"Small,Marginal,Large",Advisory,"Aadhaar, Land documents"
KCC_001,Kisan Credit Card (KCC),Credit facility for farmers to meet crop production and related expenses,"This program offers significant advantages such as credit up to ₹3 lakhs at 7% interest. Furthermore, it offers additional 3% interest subvention on timely repayment. Additionally, the scheme provides flexible repayment terms.","Eligibility for this program is extended to individual/joint borrowers who are owner cultivators. The scheme also covers tenant farmers. It is applicable to sharecroppers. Furthermore, eligibility extends to oral lessees.","Identity proof, Address proof, Land documents, Passport size photographs",https://pmkisan.gov.in,All States,All Crops,"Small,Marginal,Large",Credit,"ID proof, Address proof, Land docs, Photos"
PM_KMY_001,PM Kisan Maan-Dhan Yojana (Pension Scheme),Old age pension scheme for small and marginal farmers,"The scheme provides comprehensive support including ₹3000 monthly pension after age 60. Furthermore, it offers family pension of 50% to spouse. Additionally, the scheme provides life and disability insurance coverage.",Applicants must fall under the category of small and marginal farmers aged 18-40 years. The scheme also covers landholding up to 2 hectares. It is applicable to not covered under other pension schemes.,"Aadhaar card, Bank account passbook, Age proof, Land records",https://maandhan.in,All States,All Crops,"Small,Marginal",Pension,"Aadhaar, Bank passbook, Age proof"
PKVY_001,National Mission For Sustainable Agriculture-Parmparagat Krishi Vikas Yojana (NMSA-PKVY),Promotes cluster-based organic farming under NMSA for sustainable agriculture.,"This program offers significant advantages such as ₹50. Furthermore, it offers 000/ha for 3 years for cluster formation. Additionally, the scheme provides organic inputs. Moreover, beneficiaries receive certification support. It also aims to ensure infrastructure support for packing/marketing.",Applicants must fall under the category of farmers willing to adopt organic farming. The scheme also covers group/cluster based approach.,"Group formation documents, Land details, Aadhaar card, Bank account, Detailed Project Report",https://www.myscheme.gov.in/schemes/nmsa-pkvy,All States,All Crops,"Small,Marginal",Organic,"Group docs, Land details, DPR"
PMKSY_001,PMKSY (Pradhan Mantri Krishi Sinchayee Yojana),"Aims to expand cultivated area with assured irrigation, improve water use efficiency","The scheme provides comprehensive support including subsidy for drip/sprinkler irrigation. Furthermore, it offers micro-irrigation support. Additionally, the scheme provides watershed development.",This scheme is primarily targeted at individual farmers. The scheme also covers self-help groups. It is applicable to community organizations.,"Land documents, Aadhaar card, Bank account details, Project proposal",https://pmksy.gov.in/,All States,"Rice,Wheat,Cotton,Sugarcane,Vegetables,Fruits","Small,Marginal,Large",Subsidy,"Land docs, Aadhaar, Bank account"
NDDS_001,Namo Drone Didi Scheme,Empowering Women Self Help Groups (SHGs) with drones for agricultural rental services,"Under this scheme, beneficiaries are entitled to 80% subsidy (up to ₹8 lakh) for drones. Furthermore, it offers free drone pilot training. Additionally, the scheme provides income generation.",The scheme is designed to benefit women self help groups (shgs).,"SHG registration documents, Aadhaar cards of members, Bank account details",https://agriharyana.gov.in/AgriShaktiNamoDroneDidi.aspx,All States,All Crops,"Small,Marginal,Large",Technology,"SHG registration, Aadhaar, Bank details"
KSP_001,Krishi Sakhi Program,Training rural women as Para-extension Workers to support farmers with modern agricultural practices,"This program offers significant advantages such as certification as krishi sakhi. Furthermore, it offers income opportunity as community resource persons. Additionally, the scheme provides skill development.",Eligibility for this program is extended to women farmers. The scheme also covers rural women interested in agriculture extension.,"Aadhaar card, Education certificates (if any), Bank account details",https://www.manage.gov.in/KrishiSakhi/login.aspx,All States,All Crops,"Small,Marginal,Large",Advisory,"Aadhaar, Education certs"
MKSP_001,Mahila Kisan Sashaktikaran Pariyojana (MKSP),Empowering women in agriculture through sustainable practices and capacity building,"This program offers significant advantages such as training in sustainable agriculture. Furthermore, it offers support for community institutions. Additionally, the scheme provides improved access to inputs and markets.",This scheme is primarily targeted at women farmers. The scheme also covers mahila kisans.,"Aadhaar card, SHG membership proof (if applicable), Land documents (optional)",https://mksp.nrlm.gov.in/portal/,All States,All Crops,"Small,Marginal",Financial Support,"Aadhaar, SHG proof"
ENAM_001,e-NAM (National Agriculture Market),Unified national online trading platform for agricultural commodities,"This program offers significant advantages such as online trading. Furthermore, it offers better price discovery. Additionally, the scheme provides transparent bidding. Moreover, beneficiaries receive reduced transaction costs. It also aims to ensure pan-india market access.",Eligibility for this program is extended to all farmers. The scheme also covers traders. It is applicable to commission agents.,Aadhaar card linked to bank account,https://enam.gov.in/web/Enam_ctrl/enam_registration,All States,All Crops,"Small,Marginal,Large",Market Access,"Aadhaar, Bank account"
FPO_10K_001,Formation and Promotion of 10000 FPOs,Central Sector Scheme to form and promote 10000 Farmer Producer Organizations,"Under this scheme, beneficiaries are entitled to ₹18 lakh per fpo over 3 years. Furthermore, it offers matching equity grant up to ₹15 lakh. Additionally, the scheme provides credit guarantee up to ₹2 crore. Moreover, beneficiaries receive professional handholding for 5 years.",Eligibility for this program is extended to farmer groups. The scheme also covers minimum 300 members in plains. It is applicable to 100 in hilly/tribal areas.,"FPO registration, Member list, Bank account, Business plan",https://sfacindia.com,All States,All Crops,"Small,Marginal",Institutional Support,"FPO registration, Member list, Business plan"
SMAM_001,Sub-Mission on Agricultural Mechanization (SMAM),Increasing the reach of farm mechanization to small and marginal farmers,"This program offers significant advantages such as 50-80% subsidy on agricultural machinery. Furthermore, it offers support for custom hiring centres. Additionally, the scheme provides high-tech equipment hubs.","The scheme is designed to benefit all farmers. The scheme also covers fpos. It is applicable to shgs. Furthermore, eligibility extends to sc/st and women farmers get special benefits.","Aadhaar Card, Land Records, Bank Passbook, Caste Certificate (if applicable)",https://agrimachinery.nic.in,All States,All Crops,"Small,Marginal,Large",Technology,"Aadhaar, Land docs, Bank passbook"
DAM_001,Digital Agriculture Mission,Building Digital Public Infrastructure for agriculture to provide farmers with real-time data and services,"The scheme provides comprehensive support including access to digital services. Furthermore, it offers real-time weather and market info. Additionally, the scheme provides digital identities for farmers. Moreover, beneficiaries receive ai-driven recommendations.",The scheme is designed to benefit all farmers.,"Aadhaar card, Mobile number linked to Aadhaar",https://mybharat.gov.in/mega_events/digital-agriculture-mission-tech-for-transforming-farmers-lives,All States,All Crops,"Small,Marginal,Large",Technology,"Aadhaar, Mobile number"
PMDDKY_001,Prime Minister Dhan-Dhaanya Krishi Yojana,Targeting 100 low-productivity districts to boost yield through modern techniques,"This program offers significant advantages such as enhanced credit access. Furthermore, it offers improved irrigation facilities. Additionally, the scheme provides modern cultivation technique support. Moreover, beneficiaries receive productivity enhancement.",The scheme is designed to benefit farmers in identified 100 districts.,"Land documents, Aadhaar card, Bank account",https://pmkisan-yojana.org/pm-dhan-dhaanya-krishi-yojana/,All States,All Crops,"Small,Marginal",Financial Support,"Land docs, Aadhaar, Bank account"
NMEO_OP_001,National Mission on Edible Oils - Oil Palm (NMEO-OP),Promoting oil palm cultivation to reduce import dependency,"Key benefits of this initiative include viability price assurance. Furthermore, it offers subsidy for planting material (₹29000/ha). Additionally, the scheme provides intercropping support. Moreover, beneficiaries receive market linkage.",Eligibility for this program is extended to farmers in potential states (south and north east).,"Land documents, Aadhaar card, Bank account",https://nmeo.dac.gov.in/,All States,Oil Palm,"Small,Marginal,Large",Subsidy,"Land docs, Aadhaar, Bank account"
NMEO_OS_001,National Mission on Edible Oils - Oilseeds (NMEO-OS),Boosting production of 9 key oilseeds to achieve self-sufficiency,"This program offers significant advantages such as quality seed distribution. Furthermore, it offers cluster demonstrations. Additionally, the scheme provides high yielding varieties support. Moreover, beneficiaries receive technology transfer.",Applicants must fall under the category of farmers cultivating oilseeds.,"Land documents, Aadhaar card",https://nmeo.dac.gov.in/,All States,"Groundnut,Soyabean,Rapeseed,Mustard,Sunflower,Sesamum,Safflower,Niger Seed,Linseed,Castor","Small,Marginal,Large",Production,"Land docs, Aadhaar"
PM_AASHA_001,PM-AASHA (Pradhan Mantri Annadata Aay SanraksHan Abhiyan),Price support scheme for Oilseeds and Copra,"This program offers significant advantages such as procurement at msp. Furthermore, it offers price deficiency payment if market price falls below msp. Additionally, the scheme provides market intervention scheme.",Eligibility for this program is extended to oilseeds and copra farmers.,"Land documents, Aadhaar card, Bank account, Sale receipt",https://pmaymis.gov.in/pmaymis2_2024/PMAY_SURVEY/Applicant_Login.aspx,All States,"Groundnut,Soyabean,Rapeseed,Mustard,Sunflower,Sesamum,Niger Seed,Copra","Small,Marginal,Large",Financial Support,"Land docs, Aadhaar, Bank account"
NFSM_001,National Food Security Mission (NFSM),Increasing production and productivity of rice wheat pulses and coarse cereals,"The scheme provides comprehensive support including quality seeds distribution. Furthermore, it offers cluster demonstrations. Additionally, the scheme provides integrated pest management. Moreover, beneficiaries receive soil health management. It also aims to ensure farm mechanization support.",This scheme is primarily targeted at all farmers growing target crops.,"Aadhaar card, Bank account, Land records",https://nfsm.gov.in/,All States,"Rice,Wheat,Pulses,Millets,Coarse Cereals","Small,Marginal,Large",Production,"Aadhaar, Bank account, Land docs"
MIDH_001,Mission for Integrated Development of Horticulture (MIDH),Holistic growth of horticulture sector covering fruits vegetables flowers spices,"Key benefits of this initiative include area expansion subsidy. Furthermore, it offers protected cultivation support. Additionally, the scheme provides post-harvest management. Moreover, beneficiaries receive marketing infrastructure. It also aims to ensure planting material subsidy.",Applicants must fall under the category of all horticulture farmers.,"Aadhaar card, Bank account, Land records, Project proposal",https://midh.gov.in/,All States,"Fruits,Vegetables,Flowers,Spices,Coconut,Cashew,Cocoa","Small,Marginal,Large",Production,"Aadhaar, Bank account, Land docs"
