n,p,k,temperature,humidity,ph,rainfall,npk_total,n_to_p_ratio,n_to_k_ratio,p_to_k_ratio,npk_balance,moisture_index,gdd_proxy,is_low_rainfall,is_high_rainfall,is_very_high_rainfall,is_cool,is_hot,is_very_hot,ph_deviation,is_acidic,is_alkaline,is_very_acidic,is_very_alkaline,ph_deviation_squared,ph_n_interaction,ph_p_interaction,annual_rainfall,yield,label
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,175,2.142857142857143,2.0930232558139537,0.9767441860465116,1.0857142671020412,166.41270870186506,17.121962830390814,1,0,0,0,0,0,0.002985292000000861,0,0,0,0,8.91196832526914e-06,585.26867628,273.12538226400005,1668.5771332937343,2.218494541018379,rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,184,1.4655172413793103,2.073170731707317,1.4146341463414633,0.7717391178520796,182.0489209272913,17.485957343980754,1,0,0,0,0,0,0.538096361,0,0,0,0,0.28954769372144235,598.238190685,408.209588938,1668.5771332937343,2.218494541018379,rice
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,159,1.0909090909090908,1.3636363636363635,1.25,0.33962263510145974,217.29738240756498,18.937446273298857,1,0,0,0,0,0,1.3402071439999999,0,1,0,0,1.7961551888286362,470.41242864,431.21139292,1668.5771332937343,2.218494541018379,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,149,2.1142857142857143,1.85,0.875,0.9798657520832399,194.67583325616962,21.234829079544802,1,0,0,0,0,0,0.48040090499999977,0,0,0,0,0.2307850295248188,516.54966697,244.314031675,1668.5771332937343,2.218494541018379,rice
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,162,1.8571428571428572,1.8571428571428572,1.0,0.8888888724279839,214.39015172246997,16.42720357036975,1,0,0,0,0,0,1.1284728910000004,0,1,0,0,1.2734510657218987,595.020885498,320.395861422,1668.5771332937343,2.218494541018379,rice
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,148,1.864864864864865,1.6428571428571428,0.8809523809523809,0.797297281135866,209.30484887520575,19.22352236179895,1,0,0,0,0,0,0.5734535029999996,0,0,0,0,0.3288489201029706,488.06829170699996,261.71777961099997,1668.5771332937343,2.218494541018379,rice
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,162,1.2545454545454546,1.8157894736842106,1.4473684210526316,0.5925925816186559,224.2212745080831,18.766450619256133,1,0,0,0,0,0,0.7991943199999998,1,0,0,0,0.6387115611202621,393.35559192,313.5443124,1668.5771332937343,2.218494541018379,rice
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,187,1.7735849056603774,2.35,1.325,1.016042764448512,200.58229767796456,16.809050273750024,1,0,0,0,0,0,0.7813728220000007,1,0,0,0,0.6105434869602447,537.5509547319999,303.08724043399997,1668.5771332937343,2.218494541018379,rice
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,181,1.6481481481481481,2.3421052631578947,1.4210526315789473,0.9502762273434879,192.50376161427323,20.479393937180866,1,0,0,0,0,0,0.18534642399999957,0,0,0,0,0.03435329688958762,594.995831736,361.008706896,1668.5771332937343,2.218494541018379,rice
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,164,1.1724137931034482,1.7894736842105263,1.5263157894736843,0.6097560864069009,183.67713349440018,19.283614912692883,1,0,0,0,0,0,0.16374647499999995,1,0,0,0,0.026812908074925607,430.8652397,367.50270445,1668.5771332937343,2.218494541018379,rice
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,184,1.7169811320754718,2.275,1.325,0.9673912885751421,215.4429133088764,21.597821864342382,1,0,0,0,0,0,1.1138322120000002,1,0,1,0,1.2406221964888133,490.141268708,285.46689276399997,1668.5771332937343,2.218494541018379,rice
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,178,1.9565217391304348,2.142857142857143,1.0952380952380953,1.033707847746497,203.69433417988566,19.531028678403572,1,0,0,0,0,0,1.0028339600000002,0,1,0,0,1.0056759513292821,675.2550564000001,345.13036216,1668.5771332937343,2.218494541018379,rice
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,180,1.3448275862068966,1.7727272727272727,1.3181818181818181,0.5999999900000001,230.07168501327504,21.678319214626573,1,0,0,0,0,0,1.391318214,1,0,1,0,1.9357663726081498,398.477179308,296.303543588,1668.5771332937343,2.218494541018379,rice
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,185,1.6607142857142858,2.5833333333333335,1.5555555555555556,1.0162161997370347,152.03278849268,19.70593825444888,1,0,0,0,0,0,0.48435366,0,0,0,0,0.23459846795539563,649.54489038,391.12380496000003,1668.5771332937343,2.218494541018379,rice
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,181,1.88,2.5405405405405403,1.3513513513513513,1.1160220809499104,169.06092068879715,20.703064514330258,1,0,0,0,0,0,0.4480198299999998,0,0,0,0,0.2007217680732287,653.1138640199999,347.4009915,1668.5771332937343,2.218494541018379,rice
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,147,1.25,1.5384615384615385,1.2307692307692308,0.4489795826738861,185.56291804470462,19.498583733044303,1,0,0,0,0,0,0.5422990689999994,0,0,0,0,0.29408828023826605,422.53794414,338.030355312,1668.5771332937343,2.218494541018379,rice
